Series_reference,Period,Data_value,UNITS
BDCQ.SF1AA2CA,2016.06,1116.386,Dollars
BDCQ.SF1AA2CA,2016.09,1070.874,Dollars
BDCQ.SF1AA2CA,2016.12,1054.408,Dollars
BDCQ.SF1AA2CA,2017.03,1010.665,Dollars
BDCQ.SF1AA2CA,2017.06,1233.7,Dollars
BDCQ.SF1AA2CA,2017.09,1282.436,Dollars
BDCQ.SF1AA2CA,2017.12,1290.82,Dollars
BDCQ.SF1AA2CA,2018.03,1412.007,Dollars
BDCQ.SF1AA2CA,2018.06,1488.055,Dollars
BDCQ.SF1AA2CA,2018.09,1497.678,Dollars
BDCQ.SF1AA2CA,2018.12,1570.507,Dollars
BDCQ.SF1AA2CA,2019.03,1393.749,Dollars
BDCQ.SF1AA2CA,2019.06,1517.143,Dollars
BDCQ.SF1AA2CA,2019.09,1381.514,Dollars
BDCQ.SF1AA2CA,2019.12,1370.985,Dollars
BDCQ.SF1AA2CA,2020.03,1073.017,Dollars
BDCQ.SF1AA2CA,2020.06,1131.445,Dollars
BDCQ.SF1AA2CA,2020.09,1440.101,Dollars
BDCQ.SF1AA2CA,2020.12,1489.979,Dollars
BDCQ.SF1AA2CA,2021.03,1390.782,Dollars
BDCQ.SF1AA2CA,2021.06,1826.73,Dollars
BDCQ.SF1AA2CS,2016.06,1061.354,Dollars
BDCQ.SF1AA2CS,2016.09,1059.264,Dollars
BDCQ.SF1AA2CS,2016.12,1055.683,Dollars
BDCQ.SF1AA2CS,2017.03,1075.857,Dollars
BDCQ.SF1AA2CS,2017.06,1174.183,Dollars
BDCQ.SF1AA2CS,2017.09,1270.569,Dollars
BDCQ.SF1AA2CS,2017.12,1288.087,Dollars
BDCQ.SF1AA2CS,2018.03,1505.77,Dollars
BDCQ.SF1AA2CS,2018.06,1416.372,Dollars
BDCQ.SF1AA2CS,2018.09,1483.703,Dollars
BDCQ.SF1AA2CS,2018.12,1566.251,Dollars
BDCQ.SF1AA2CS,2019.03,1488.614,Dollars
BDCQ.SF1AA2CS,2019.06,1441.339,Dollars
