Series_reference,Period,Data_value,UNITS
BDCQ.SF1AA2CA,2016.06,1116.386,Dollars
BDCQ.SF1AA2CA,2016.09,1070.874,Dollars
BDCQ.SF1AA2CA,2016.12,1054.408,Dollars
BDCQ.SF1AA2CA,2017.03,1010.665,Dollars
BDCQ.SF1AA2CA,2017.06,1233.7,Dollars
BDCQ.SF1AA2CA,2017.09,1282.436,Dollars
BDCQ.SF1AA2CA,2017.12,1290.82,Dollars
BDCQ.SF1AA2CA,2018.03,1412.007,Dollars
BDCQ.SF1AA2CA,2018.06,1488.055,Dollars
BDCQ.SF1AA2CA,2018.09,1497.678,Dollars
BDCQ.SF1AA2CA,2018.12,1570.507,Dollars
BDCQ.SF1AA2CA,2019.03,1393.749,Dollars
BDCQ.SF1AA2CA,2019.06,1517.143,Dollars
BDCQ.SF1AA2CA,2019.09,1381.514,Dollars
BDCQ.SF1AA2CA,2019.12,1370.985,Dollars
BDCQ.SF1AA2CA,2020.03,1073.017,Dollars
BDCQ.SF1AA2CA,2020.06,1131.445,Dollars
BDCQ.SF1AA2CA,2020.09,1440.101,Dollars
BDCQ.SF1AA2CA,2020.12,1489.979,Dollars
BDCQ.SF1AA2CA,2021.03,1390.782,Dollars
BDCQ.SF1AA2CA,2021.06,1826.73,Dollars
BDCQ.SF1AA2CS,2016.06,1061.354,Dollars
BDCQ.SF1AA2CS,2016.09,1059.264,Dollars
BDCQ.SF1AA2CS,2016.12,1055.683,Dollars
BDCQ.SF1AA2CS,2017.03,1075.857,Dollars
BDCQ.SF1AA2CS,2017.06,1174.183,Dollars
BDCQ.SF1AA2CS,2017.09,1270.569,Dollars
BDCQ.SF1AA2CS,2017.12,1288.087,Dollars
BDCQ.SF1AA2CS,2018.03,1505.77,Dollars
BDCQ.SF1AA2CS,2018.06,1416.372,Dollars
BDCQ.SF1AA2CS,2018.09,1483.703,Dollars
BDCQ.SF1AA2CS,2018.12,1566.251,Dollars
BDCQ.SF1AA2CS,2019.03,1488.614,Dollars
BDCQ.SF1AA2CS,2019.06,1441.339,Dollars
BDCQ.SF1AA2CS,2019.09,1370.491,Dollars
BDCQ.SF1AA2CS,2019.12,1366.993,Dollars
BDCQ.SF1AA2CS,2020.03,1145.482,Dollars
BDCQ.SF1AA2CS,2020.06,1074.819,Dollars
BDCQ.SF1AA2CS,2020.09,1430.05,Dollars
BDCQ.SF1AA2CS,2020.12,1486.139,Dollars
BDCQ.SF1AA2CS,2021.03,1480.051,Dollars
BDCQ.SF1AA2CS,2021.06,1738.499,Dollars
BDCQ.SF1AA2CT,2016.06,1025.436,Dollars
BDCQ.SF1AA2CT,2016.09,1070.246,Dollars
BDCQ.SF1AA2CT,2016.12,1053.542,Dollars
BDCQ.SF1AA2CT,2017.03,1085.732,Dollars
BDCQ.SF1AA2CT,2017.06,1173.246,Dollars
BDCQ.SF1AA2CT,2017.09,1252.99,Dollars
BDCQ.SF1AA2CT,2017.12,1328.224,Dollars
BDCQ.SF1AA2CT,2018.03,1393.548,Dollars
BDCQ.SF1AA2CT,2018.06,1437.152,Dollars
BDCQ.SF1AA2CT,2018.09,1491.932,Dollars
BDCQ.SF1AA2CT,2018.12,1539.381,Dollars
BDCQ.SF1AA2CT,2019.03,1506.566,Dollars
BDCQ.SF1AA2CT,2019.06,1430.703,Dollars
BDCQ.SF1AA2CT,2019.09,1379.168,Dollars
BDCQ.SF1AA2CT,2019.12,1369.957,Dollars
BDCQ.SF1AA2CT,2020.03,,Dollars
BDCQ.SF1AA2CT,2020.06,1413.073,Dollars
BDCQ.SF1AA2CT,2020.09,,Dollars
BDCQ.SF1AA2CT,2020.12,1471.482,Dollars
BDCQ.SF1AA2CT,2021.03,1489.814,Dollars
BDCQ.SF1AA2CT,2021.06,,Dollars
BDCQ.SF1AA3CA,2016.06,1189.735,Dollars
BDCQ.SF1AA3CA,2016.09,1144.938,Dollars
BDCQ.SF1AA3CA,2016.12,1390.589,Dollars
BDCQ.SF1AA3CA,2017.03,1310.912,Dollars
BDCQ.SF1AA3CA,2017.06,1241.466,Dollars
